,pair,num_trips,station_id_1,station_id_2,station_1_name,station_1_latitude,station_1_longitude,station_2_name,station_2_latitude,station_2_longitude
0,"(72, 79)",2,72,79,W 52 St & 11 Ave,40.76727216,-73.99392888,Franklin St & W Broadway,40.71911552,-74.00666661
1,"(72, 127)",3,72,127,W 52 St & 11 Ave,40.76727216,-73.99392888,Barrow St & Hudson St,40.73172428,-74.00674436
2,"(72, 161)",1,72,161,W 52 St & 11 Ave,40.76727216,-73.99392888,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
3,"(72, 173)",4,72,173,W 52 St & 11 Ave,40.76727216,-73.99392888,Broadway & W 49 St,40.76068327096592,-73.9845272898674
4,"(72, 195)",1,72,195,W 52 St & 11 Ave,40.76727216,-73.99392888,Liberty St & Broadway,40.70905623,-74.01043382
5,"(72, 212)",4,72,212,W 52 St & 11 Ave,40.76727216,-73.99392888,W 16 St & The High Line,40.74334935,-74.00681753
6,"(72, 223)",1,72,223,W 52 St & 11 Ave,40.76727216,-73.99392888,W 13 St & 7 Ave,40.73781509,-73.99994661
7,"(72, 253)",1,72,253,W 52 St & 11 Ave,40.76727216,-73.99392888,W 13 St & 5 Ave,40.73543934,-73.99453948
8,"(72, 254)",1,72,254,W 52 St & 11 Ave,40.76727216,-73.99392888,W 11 St & 6 Ave,40.73532427,-73.99800419
9,"(72, 267)",1,72,267,W 52 St & 11 Ave,40.76727216,-73.99392888,Broadway & W 36 St,40.75097711,-73.98765428
10,"(72, 281)",1,72,281,W 52 St & 11 Ave,40.76727216,-73.99392888,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
11,"(72, 285)",2,72,285,W 52 St & 11 Ave,40.76727216,-73.99392888,Broadway & E 14 St,40.73454567,-73.99074142
12,"(72, 293)",2,72,293,W 52 St & 11 Ave,40.76727216,-73.99392888,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
13,"(72, 304)",1,72,304,W 52 St & 11 Ave,40.76727216,-73.99392888,Broadway & Battery Pl,40.70463334,-74.01361706
14,"(72, 309)",5,72,309,W 52 St & 11 Ave,40.76727216,-73.99392888,Murray St & West St,40.7149787,-74.013012
15,"(72, 326)",1,72,326,W 52 St & 11 Ave,40.76727216,-73.99392888,E 11 St & 1 Ave,40.72953837,-73.98426726
16,"(72, 327)",3,72,327,W 52 St & 11 Ave,40.76727216,-73.99392888,Vesey Pl & River Terrace,40.7153379,-74.01658354
17,"(72, 328)",2,72,328,W 52 St & 11 Ave,40.76727216,-73.99392888,Watts St & Greenwich St,40.72405549,-74.00965965
18,"(72, 345)",1,72,345,W 52 St & 11 Ave,40.76727216,-73.99392888,W 13 St & 6 Ave,40.73649403,-73.99704374
19,"(72, 346)",1,72,346,W 52 St & 11 Ave,40.76727216,-73.99392888,Bank St & Hudson St,40.73652889,-74.00618026
